Locus_Tag	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
SAOUHSC_00752	1519.05630642659	-0.332133577116233	0.275414904999772	-1.2059390072462	0.227841008816074	0.314137503137192
SAOUHSC_00753	193.726553956452	-0.323742570568387	0.475823763178716	-0.680383359598608	0.496261754689294	0.583637755942281
SAOUHSC_00754	993.266652806267	0.757512888674663	0.408491440787637	1.85441557163121	0.0636797287304515	0.10569759557672
SAOUHSC_00755	4584.61074924212	1.61166700848121	0.377582091563019	4.26838837035316	1.96890315087638e-05	7.61014251574691e-05
SAOUHSC_00756	3585.23255138566	0.0441884795182594	0.36959565590477	0.11955897969116	0.904832516026792	0.922942581210426
SAOUHSC_00757	6015.09683236272	0.247702401130587	0.320891273576214	0.771920028768735	0.440161793962818	0.529425374556676
SAOUHSC_00758	349.01571654945	-0.0786395173657901	0.231607177317474	-0.339538343658475	0.734204216739207	0.797997632095694
SAOUHSC_00759	273.322242307261	-0.22728041123269	0.302822823214699	-0.750539238819362	0.452930000447076	0.541402093886948
SAOUHSC_00760	11681.851124138	3.29415638029703	0.402975385241342	8.1745846047747	2.96886939912188e-16	5.63470936991959e-15
SAOUHSC_00762	2471.92373799921	-0.47956281903077	0.232673750569189	-2.06109549468996	0.0392939305611361	0.0695414128001585
SAOUHSC_00763	1791.8655099088	-0.844918483866871	0.373621544573254	-2.26142870008186	0.0237327232176972	0.0447039386003441
SAOUHSC_00764	2630.72418701875	0.955427642273307	0.37555815624727	2.54402048359255	0.0109584658134211	0.0226409143532544
SAOUHSC_00765	329.570753147494	2.42592245783773	0.486282012231636	4.98871518340712	6.07821820419974e-07	3.26006313416825e-06
SAOUHSC_00766	365.502995334629	0.990562127689664	0.217114442729546	4.56239628850294	5.05730766326337e-06	2.23757406580399e-05
SAOUHSC_00767	23641.672068166	-1.28061776537943	0.291629746786373	-4.39124533587966	1.1270328497881e-05	4.53449474066791e-05
SAOUHSC_00769	33729.2947231607	-0.469232246725779	0.340922303113811	-1.37636124841364	0.168709819136914	0.243849486483607
SAOUHSC_00770	83.4941875842462	-0.518640256529866	0.436500527985266	-1.18817784464942	0.234763350439466	0.321427234034532
SAOUHSC_00771	3820.88604803577	-0.885835859243861	0.42972441761174	-2.06140452564234	0.0392644634637073	0.0695339790554199
